Participant,roi_sequence,experience
7.0,"14,16,13,13,9,16,9,9,10,16",Control
7.0,"9,9,9,0,9,15,9,9,16,16",Control
7.0,"16,9,9,5,5,5,5,5,11,9",Control
7.0,"5,9,4,4,14,17,17,17,21,21",Control
7.0,"17,17,17,17,15,17,17,17,17,16",Control
7.0,"17,20,17,17,17,17,17,17,17,9",Control
7.0,"16,9,9,9,9,9,9,0,9,12",Control
7.0,"9,5,5,1,5,5,4,5,12,12",Control
7.0,"3,0,5,11,3,3,0,6,6,6",Control
7.0,"3,3,6,3,3,3,19,6,3,6",Control
7.0,"6,6,3,3,0,6,6,3,3,3",Control
7.0,"3,3,3,3,3,3,3,3,8,9",Control
7.0,"9,9,8,8,10,2,10,11,13,0",Control
7.0,"8,2,18,19,1,1,12,2,1,3",Control
7.0,"3,3,3,3,3,3,3,3,3,1",Control
7.0,"19,19,19,19,19,19,19,19,19,1",Control
7.0,"1,1,1,3,3,2,1,1,3,1",Control
7.0,"3,18,3,3,3,3,18,19,19,9",Control
7.0,"11,3,13,5,5,4,7,7,11,7",Control
7.0,"7,15,0,9,8,7,7,13,7,4",Control
7.0,"7,13,5,5,5,2,15,15,9,15",Control
7.0,"7,7,7,7,7,16,15,15,18,19",Control
7.0,"11,11,11,11,11,11,11,5,2,1",Control
7.0,"2,2,4,2,2,1,2,2,2,1",Control
7.0,"13,0,16,2,7,2,2,5,4,2",Control
7.0,"2,1,1,7,7,7,5,5,5,7",Control
7.0,"7,2,2,2,2,10,2,2,2,2",Control
7.0,"2,2,2,2,2,2,2,7,15,15",Control
11.0,"15,0,23,9,9,0,8,9,0,0",ThirdYear
11.0,"0,9,0,0,8,0,8,0,8,0",ThirdYear
11.0,"0,0,0,0,8,8,8,7,9,9",ThirdYear
11.0,"8,8,8,8,9,8,2,0,0,9",ThirdYear
11.0,"0,9,0,9,9,9,9,9,9,9",ThirdYear
11.0,"9,0,8,8,8,8,8,8,8,9",ThirdYear
11.0,"8,8,8,8,8,8,0,0,0,0",ThirdYear
11.0,"0,0,0,0,0,9,9,9,9,9",ThirdYear
11.0,"9,9,0,12,13,9,9,12,12,25",ThirdYear
11.0,"0,18,9,18,9,9,9,19,0,19",ThirdYear
11.0,"7,0,7,7,9,9,2,9,0,0",ThirdYear
11.0,"9,8,9,9,9,8,9,8,8,8",ThirdYear
11.0,"8,8,8,8,0,9,9,9,9,9",ThirdYear
11.0,"8,0,12,12,12,13,12,2,2,0",ThirdYear
11.0,"21,11,2,2,4,2,2,2,10,2",ThirdYear
11.0,"2,2,2,5,2,2,12,12,12,12",ThirdYear
11.0,"13,15,0,20,15,0,15,15,0,0",ThirdYear
11.0,"15,15,15,0,19,0,19,0,20,0",ThirdYear
11.0,"20,20,0,0,21,20,20,13,20,21",ThirdYear
11.0,"19,0,19,18,18,18,18,10,10,10",ThirdYear
11.0,"10,10,12,12,12,12,12,12,12,12",ThirdYear
11.0,"12,12,12,0,20,24,23,23,28,23",ThirdYear
11.0,"23,23,0,23,0,0,0,0,0,0",ThirdYear
11.0,"2,2,2,2,2,2,0,8,24,29",ThirdYear
11.0,"29,30,26,24,28,26,29,8,10,15",ThirdYear
11.0,"19,15,2,2,12,12,12,2,12,2",ThirdYear
11.0,"0,0,4,2,3,3,3,4,3,4",ThirdYear
11.0,"3,3,3,4,4,3,4,4,3,4",ThirdYear
11.0,"3,2,3,3,2,3,3,3,3,3",ThirdYear
11.0,"3,3,3,1,3,3,3,3,3,3",ThirdYear
11.0,"2,3,3,12,3,6,12,12,12,0",ThirdYear
11.0,"14,16,16,19,16,2,16,17,1,15",ThirdYear
11.0,"17,17,19,19,18,12,13,9,21,9",ThirdYear
11.0,"9,10,11,11,4,4,4,2,5,2",ThirdYear
11.0,"2,1,1,15,1,10,9,9,10,4",ThirdYear
11.0,"4,4,4,4,4,11,11,11,14,14",ThirdYear
11.0,"11,11,5,4,4,4,4,4,4,10",ThirdYear
11.0,"5,9,4,2,15,14,15,10,10,7",ThirdYear
11.0,"5,13,15,17,16,7,7,7,5,7",ThirdYear
11.0,"7,7,10,10,10,9,9,11,12,12",ThirdYear
11.0,"12,12,12,9,12,5,12,12,13,13",ThirdYear
11.0,"13,15,13,13,13,13,13,14,14,4",ThirdYear
11.0,"14,14,14,16,15,9,7,15,15,7",ThirdYear
11.0,"9,17,17,16,9,9,9,9,9,9",ThirdYear
11.0,"9,9,9,9,9,9,9,9,9,9",ThirdYear
11.0,"5,5,4,9,20,4,17,17,5,5",ThirdYear
11.0,"5,9,11,12,5,8,8,8,8,8",ThirdYear
11.0,"8,6,9,9,2,9,0,9,3,3",ThirdYear
11.0,"9,6,1,1,0,3,8,8,8,8",ThirdYear
11.0,"9,2,9,9,9,1,1,8,9,15",ThirdYear
11.0,"9,11,9,8,11,8,2,10,11,12",ThirdYear
11.0,"0,11,14,1,1,4,17,3,3,3",ThirdYear
11.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
11.0,"0,3,3,3,3,3,6,3,3,1",ThirdYear
11.0,"1,19,19,19,19,19,19,19,19,19",ThirdYear
11.0,"18,19,3,3,3,3,3,3,3,3",ThirdYear
11.0,"1,1,1,18,20,13,2,19,19,9",ThirdYear
11.0,"2,8,13,3,3,3,2,2,2,3",ThirdYear
11.0,"3,19,3,1,2,9,13,7,7,7",ThirdYear
11.0,"15,16,19,0,5,15,7,13,7,2",ThirdYear
11.0,"2,2,10,2,2,2,7,2,2,2",ThirdYear
11.0,"2,2,2,2,11,11,13,7,2,4",ThirdYear
11.0,"2,4,4,4,7,2,4,2,7,16",ThirdYear
11.0,"16,16,15,19,13,5,5,1,1,5",ThirdYear
11.0,"13,13,7,2,1,1,1,15,19,19",ThirdYear
11.0,"16,16,15,13,11,11,11,11,2,2",ThirdYear
12.0,"19,9,19,8,0,0,11,0,0,0",FirstYear
12.0,"0,0,0,19,0,17,13,15,2,2",FirstYear
12.0,"7,7,12,13,29,0,0,0,0,0",FirstYear
12.0,"0,0,0,0,0,0,9,9,0,0",FirstYear
12.0,"9,8,8,7,0,0,9,9,18,0",FirstYear
12.0,"12,9,9,29,29,12,0,13,13,0",FirstYear
12.0,"12,0,12,2,2,2,0,7,7,7",FirstYear
12.0,"7,7,5,17,19,17,17,19,17,19",FirstYear
12.0,"23,9,9,9,0,0,9,9,9,0",FirstYear
12.0,"0,2,2,2,0,4,13,0,13,13",FirstYear
12.0,"0,9,9,9,0,9,9,8,0,9",FirstYear
12.0,"9,9,9,9,0,8,8,8,10,4",FirstYear
